alpha,beta,coefficient
11011111111011101100,11011011111111101100,-0.057562732649458319
11011111111011101100,01011111111111101100,0.046630016220306963
11011111111011101100,11101111111011101010,0.0036929486267534995
11011111111011101100,11011110111111101010,-5.6578985483156132e-05
11111100111111101100,11001111111111101100,-0.02053989889352751
11111010111111101100,11101111111110101100,-0.0079823722501479108
11111010111111101100,11001111111111101100,0.030387056176714302
11101110111111101100,11011111111011101100,-0.00011807235680595611
11101110111111101100,11101110111111101100,-0.21028310834878905
11101110111111101100,11100111111111101100,0.089189683643083939
11101110111111101100,10101110111111111100,0.00081787742308597603
11101110111111101100,11111110111110101010,-0.0027796063880013676
11101110111111101100,11101111111011101010,-0.0021678209813613338
11101110111111101100,11011110111111101010,0.0087600905458987376
11101110111111101100,11111110111110100101,-0.0074564364349068643
11101110111111101100,11101111111011100101,-0.010527774460170418
11101110111111101100,11011110111111100101,0.0071441136763895343
11101110111111101100,11101110110111101101,0.0057550597324914476
11101110111111101100,11101110111111100011,-0.0072382942658341101
11011110111111101100,11111110111111001100,-0.034669886064342834
11011110111111101100,11110111111111001100,0.010834585644982044
11011110111111101100,11111110111110101100,-0.071564323649466299
11011110111111101100,11110111111110101100,0.022450015068840253
11011110111111101100,11101111111011101100,-0.0017265782340818265
11011110111111101100,11011110111111101100,0.1971842305534873
11011110111111101100,11010111111111101100,-0.078047089930005545
11011110111111101100,10111110111110111100,0.0036253796780965734
11011110111111101100,11011111111011101010,0.0025249883968745889
11011110111111101100,11101110111111101010,-0.0037132559298344151
11011110111111101100,11011110110111101101,-0.0062766393104569142
11011110111111101100,11011110111111100011,0.0078730436798563098
01111110111111101100,11001111111111101100,0.025469544125592613
11101101111111101100,11101111111011101100,-0.034233038195474373
11011101111111101100,11011111111011101100,0.031521967474264292
11101011111111101100,11101111111011101100,0.07290524045626455
11101011111111101100,11101011111111101100,0.036210657492094726
11101011111111101100,01101111111111101100,-0.024590666180185985
11011011111111101100,11111111111010101100,0.017560583743275415
11011011111111101100,11011111111011101100,-0.057562732649451991
11011011111111101100,11011011111111101100,-0.029614768740663211
11100111111111101100,11101110111111101100,0.089189683643086978
11100111111111101100,11100111111111101100,-0.029951678987421206
11010111111111101100,11111110111111001100,0.010754905359993197
11010111111111101100,11111110111110101100,0.022717953834396197
11010111111111101100,11011110111111101100,-0.078047089930009361
11010111111111101100,11010111111111101100,0.02495259485853514
11001111111111101100,11111110111011101100,-0.088188920607878293
11001111111111101100,11110111111011101100,0.028357529889085738
11001111111111101100,11111100111111101100,-0.020539898893531319
11001111111111101100,11111010111111101100,0.030387056176718556
11001111111111101100,01111110111111101100,0.025469544125598532
01101111111111101100,11101111111011101100,-0.054102074550905009
01101111111111101100,11101011111111101100,-0.024590666180186051
01011111111111101100,11111111111010101100,-0.014680297219786618
01011111111111101100,11011111111011101100,0.046630016220301607
11111110111110011100,11111110111110011100,-0.0026248773841861294
11111110111110011100,11011110111111011100,0.005459962921520364
11101110111111011100,11101110111111011100,0.013236981846386515
11011110111111011100,11111110111110011100,0.0054599629215204152
10111110111110111100,11011110111111101100,0.0036253796780977353
11101110111011111100,11101111111111001100,-0.00109710779228892
11011110111011111100,11111111111110001100,-4.1178259697601149e-05
10101111111011111100,11101111111011101100,-0.0093179060509144332
11001110111111111100,11111110111111001100,-0.0066754064159311021
10101110111111111100,11101110111111101100,0.00081787742308646967
10011110111111111100,11111110111110101100,0.0023643317033682234
11111111111110100010,11011110111011101011,0.020099735512493611
11111111111011100010,11001111111011101011,0.039590741719697772
11111111111011100010,11001011111111101011,0.015889023778934662
11111110111111100010,11101110111111001011,-0.0096166365084871964
11111110111111100010,11101110111110101011,-0.022318356486927603
11111110111111100010,11001110111111101011,-0.078393029607237499
11111110111111100010,11000111111111101011,0.0179099103992733
11111011111111100010,11001111111011101011,0.014810426243158809
11110111111111100010,11001110111111101011,0.027922751873171094
11101111111111100010,11101111111011101010,-0.0463388660231107
11101111111111100010,11101110111011101011,-0.091015120529068225
11101111111111100010,11100111111011101011,0.026696418047545425
11101111111111100010,11101010111111101011,0.046332746382852459
11101111111111100010,01101110111111101011,-0.03501385980966662
11011111111111100010,11011111111011101010,0.040287505605922813
11011111111111100010,11111110111010101011,0.020809697017604278
11011111111111100010,11011110111011101011,0.080605189394664919
11011111111111100010,11010111111011101011,-0.022852492123393874
11011111111111100010,11011010111111101011,-0.038831169891572967
11011111111111100010,01011110111111101011,0.02509997997893541
11101110111111110010,11101110111111001011,-0.0030841772016429918
11111111111110001010,11011110111011111010,-8.4055119136770105e-05
11111111111011001010,11011111111011101010,-0.014674380677709032
11111111111011001010,11001111111011111010,-0.0020302684117392928
11111110111111001010,11111110111110101010,-0.0087774268124976209
11111110111111001010,11011110111111101010,0.033893800686783444
11111110111111001010,11010111111111101010,-0.010828629746143383
11111110111111001010,11001110111111111010,0.0070798029932763757
11110111111111001010,11011110111111101010,-0.010866731532794119
11101111111111001010,11111110111011101010,-0.012242912408279885
11101111111111001010,11101110111011111010,0.0015852499443157046
11011111111111001010,11011110111011111010,-0.00084534200009084163
11111111111010101010,11111111111010101010,0.010313100913462121
11111111111010101010,11011111111011101010,-0.039334532221767832
11111111111010101010,11011011111111101010,-0.018277134218016289
11111111111010101010,01011111111111101010,0.015116078539845076
11111110111110101010,11101110111111101100,-0.0027796063880009768
11111110111110101010,11111110111111001010,-0.0087774268124985143
11111110111110101010,11111110111110101010,-0.025967089985763723
11111110111110101010,11110111111110101010,0.0080872613519512651
11111110111110101010,11011110111111101010,0.071288981468848156
11111110111110101010,11010111111111101010,-0.024328138928571899
11111110111110101010,11001111111111101010,0.0048324384082914524
11111110111110101010,10111110111110111010,0.0025441231803471705
11111110111110101010,11001110111111111010,-0.0028426810663397112
11111110111110101010,10011110111111111010,-0.0033905984516568025
11111011111110101010,11011111111011101010,-0.018516424176794596
11111011111110101010,11011011111111101010,-0.0081601436363798741
11110111111110101010,11111110111110101010,0.0080872613519517092
11110111111110101010,11011110111111101010,-0.024073989677896299
11110111111110101010,11010111111111101010,0.0075420549661155811
11101111111110101010,11111110111011101010,-0.020021357623850843
11101111111110101010,11110111111011101010,0.0070615832583699936
11101111111110101010,11101111111011101010,-0.0081647009277437815
11101111111110101010,11111010111111101010,0.0082820217991900792
01111111111110101010,11011111111011101010,-0.015502908213313961
11111110111011101010,11101111111111001010,-0.012242912408280937
11111110111011101010,11101111111110101010,-0.020021357623847748
11111110111011101010,11001111111111101010,0.08826494315550959
11111110111011101010,10001111111111111010,-0.0054716155183528329
11110111111011101010,11101111111110101010,0.0070615832583683334
11110111111011101010,11001111111111101010,-0.029841923263929718
11101111111011101010,11011111111011101100,0.0036929486267529314
11101111111011101010,11101110111111101100,-0.0021678209813622905
11101111111011101010,11101111111111100010,-0.046338866023103414
11101111111011101010,11101111111110101010,-0.0081647009277439984
11101111111011101010,11101111111011101010,-0.14956584803880599
11101111111011101010,11011110111111101010,-0.00076356522585655472
11101111111011101010,11101101111111101010,0.035935698717723133
11101111111011101010,11101011111111101010,-0.078596293858505875
11101111111011101010,01101111111111101010,0.063895498574856879
11101111111011101010,10101111111011111010,0.012774206948074868
11101111111011101010,11101110111111100011,0.0021719216293248113
11011111111011101010,11101111111011101100,-0.0040035190470147728
11011111111011101010,11011110111111101100,0.0025249883968744913
11011111111011101010,11011111111111100010,0.040287505605910344
11011111111011101010,11111111111011001010,-0.014674380677708975
11011111111011101010,11111111111010101010,-0.039334532221767846
11011111111011101010,11111011111110101010,-0.018516424176794607
11011111111011101010,01111111111110101010,-0.015502908213314936
11011111111011101010,11011111111011101010,0.13172811667420214
11011111111011101010,11101110111111101010,-0.0025255029550542742
11011111111011101010,11011101111111101010,-0.031814092327563617
11011111111011101010,11011011111111101010,0.065398730321473891
11011111111011101010,01011111111111101010,-0.04991623810077226
11011111111011101010,10011111111011111010,-0.0096703540789156855
11011111111011101010,11011110111111100011,-0.0056577749567008027
11111100111111101010,11001111111111101010,0.021072037852975459
11111100111111101010,11001110111111111010,0.0047970837186977477
11111010111111101010,11101111111110101010,0.0082820217991880669
11111010111111101010,11001111111111101010,-0.03097447899201727
11101110111111101010,11111110111110101100,0.0014681583567871296
11101110111111101010,11101111111011101100,0.00097147419694618782
11101110111111101010,11011110111111101100,-0.003713255929838336
11101110111111101010,11011111111011101010,-0.0025255029550559061
11101110111111101010,11101110111111101010,0.22604008955419302
11101110111111101010,11100111111111101010,-0.095200921745569239
11101110111111101010,11111110111110011010,-0.0022370216809782981
11101110111111101010,10101110111111111010,-0.0043538409898111509
11101110111111101010,11101110111111100101,0.0048149340510790471
11101110111111101010,11111110111110100011,0.0077814438744480902
11101110111111101010,11101111111011100011,0.0090762774011351743
11101110111111101010,11011110111111100011,-0.0082608498189769061
11101110111111101010,11101110110111101011,-0.0037062699286918182
11011110111111101010,11011111111011101100,-5.6578985485608238e-05
11011110111111101010,11101110111111101100,0.0087600905458947841
11011110111111101010,11111110111111001010,0.033893800686784582
11011110111111101010,11110111111111001010,-0.010866731532793508
11011110111111101010,11111110111110101010,0.071288981468847518
11011110111111101010,11110111111110101010,-0.0240739896778931
11011110111111101010,11101111111011101010,-0.00076356522586051628
11011110111111101010,11011110111111101010,-0.20236105842752314
11011110111111101010,11010111111111101010,0.082186219195846621
11011110111111101010,10111110111110111010,-0.0048066975847239155
11011110111111101010,10011110111111111010,0.0025397807618635329
11011110111111101010,11011111111011100011,-0.0091602960032020342
11011110111111101010,11101110111111100011,0.0040997230020205101
